2059,1893,2064,2226,3015,3143,2940,3698,3068,4169,4059,4212,4400,6002,6171,6830,7011,5632,7741,7768,8302,8822,8936,9707,10213,10437,11827,11598,11613,12451,12103,12170,13266,12901,10755,14140,14377,11631,15435,15056,15681
2016,1667,2213,2180,2600,2860,3119,3642,3249,3961,4187,4313,4656,5873,6127,6277,6824,5413,7676,7846,8349,8497,9240,9974,10258,10601,11877,11290,11035,11842,12188,12433,13044,13072,11177,14298,13838,11291,14873,15604,15356
1847,1968,2040,2264,2723,2890,2990,3596,3266,3975,4003,4302,4719,6112,6294,6388,7340,5827,7815,7862,8191,8808,8887,9913,10610,10206,11426,11096,10909,11609,12497,12876,12896,13449,10818,13801,14393,11242,15062,14943,15556
2217,1697,1936,2015,2571,2860,3065,3658,3307,4070,3996,4344,4448,6108,6142,7367,7030,5543,7747,7761,8483,8145,8854,10143,10650,9957,11147,10766,10667,12101,12352,12637,13382,13362,11288,14044,14317,11031,14646,15081,15885
2170,1734,2038,1932,2536,3099,3134,3645,3291,3855,4028,4540,4206,5751,6105,6001,7078,5259,7298,7781,8104,8827,8742,9779,9621,10075,11197,10821,10487,12196,12597,12790,12741,13187,11044,13750,14354,11330,14823,15185,15387
2288,1975,2103,2197,2512,3062,3153,3306,3089,4015,4019,4157,5006,5949,6410,6349,7306,5572,8120,7421,8208,8479,8606,9501,10044,10511,11115,10749,10690,11963,12099,12294,13105,13075,11488,13727,13968,11292,14238,20303,15046
2171,1970,2064,2288,2782,2810,2886,3662,3225,3872,4043,4550,4515,6287,6512,6866,6496,5406,7110,7688,8160,8529,8613,9588,9876,10104,11048,10850,11039,11926,12298,12611,12944,116827,11477,13999,13979,11650,14782,14442,14609
2085,1950,2237,2347,2972,2843,3133,3603,3396,4202,4252,4203,4423,5728,6056,5665,6779,5243,7798,7751,8011,8075,8670,9167,10102,10151,10724,10828,10826,11783,12060,12810,13170,13364,11382,13971,14395,11367,14145,14237,15231
2267,1748,1986,2034,2615,2827,2932,3528,3436,3978,4471,4303,4383,6100,6335,6474,6692,5651,7833,7531,8007,8375,9137,9125,9699,10186,10836,10722,10802,11967,12331,11731,13071,12476,11322,13963,14245,11263,14529,13811,14916
2257,1844,1925,2072,2625,2707,3091,3604,3085,3658,3851,4245,4505,5862,6222,6179,6658,5583,7389,7771,8355,8256,8732,9601,10386,10606,10819,11073,10486,11827,11931,11624,12641,12506,11353,13711,13801,11096,14296,14912,14326
2175,1744,1983,2050,2544,3029,2951,3439,3059,4167,4073,4347,4381,5865,6136,5826,6782,5361,7297,7495,8064,8013,8631,9092,9857,9923,10823,10988,10126,11765,11967,11992,12438,13006,11167,13300,13721,11422,14555,14187,14946
2201,1871,2186,2073,2556,2972,3144,3515,3206,4094,4037,4172,4367,6340,6509,6479,5648,5299,7569,7683,8178,8210,8127,9741,9425,10117,10648,10660,10754,11753,12008,12454,12823,12535,10989,13457,13691,11072,13795,14989,14424
2195,1905,2215,2146,2698,3034,3206,3574,3038,3779,3790,4411,4413,5783,6035,5621,6201,5479,7392,7678,8148,8188,8850,9114,9672,10149,10014,10764,10507,10847,12119,12475,12512,12287,10829,13084,14027,11196,14118,13772,14518
2036,1819,2065,2189,2711,2978,3010,3452,3213,3829,4389,4117,4255,5637,5901,5725,6994,5420,7363,7629,8056,8733,8821,9968,9281,10170,10974,10629,10312,11732,12016,12375,13050,12425,11073,13147,13376,11387,13559,14636,14656
2297,1926,1974,2261,2942,2982,3101,3452,3367,3822,3829,4103,4363,5906,6225,6460,7342,5669,7580,7438,8252,7973,8731,9251,9249,10002,10355,10744,10318,11534,11668,12618,12373,12751,11001,12964,13421,11256,13944,14491,13269
